id,question_type,corruption,clean_emb_sim,corrupt_emb_sim,corrupt_mech_f1,corrupt_graph_support,corrupt_token_f1
19,model_abstraction_and_breakdown,no_synthesis,1.0,0.9598,0.4000,0.5899,0.5584
19,model_abstraction_and_breakdown,shuffled_synthesis,1.0,0.9481,0.4444,0.7698,0.6524
20,hidden_variable_identification,no_graph,1.0,0.9596,0.2500,0.5130,0.5228
20,hidden_variable_identification,shuffled_graph,1.0,0.9714,0.0000,0.4805,0.5460
20,hidden_variable_identification,wrong_graph,1.0,0.9683,0.4444,0.5065,0.5470
20,hidden_variable_identification,no_synthesis,1.0,0.9761,0.4000,0.6234,0.5822
20,hidden_variable_identification,shuffled_synthesis,1.0,0.9729,0.2500,0.5390,0.5855
21,hidden_variable_identification,no_graph,1.0,0.8935,0.2857,0.4469,0.5310
21,hidden_variable_identification,shuffled_graph,1.0,0.9003,0.4000,0.4469,0.5015
21,hidden_variable_identification,wrong_graph,1.0,0.8976,0.3333,0.5251,0.5562
21,hidden_variable_identification,no_synthesis,1.0,0.8863,0.2222,0.5140,0.5749
21,hidden_variable_identification,shuffled_synthesis,1.0,0.8867,0.5714,0.4302,0.5215
22,hidden_variable_identification,no_graph,1.0,0.9672,0.8000,0.6569,0.6294
22,hidden_variable_identification,shuffled_graph,1.0,0.9791,0.5000,0.6131,0.6814
22,hidden_variable_identification,wrong_graph,1.0,0.9719,0.8000,0.6569,0.6246
22,hidden_variable_identification,no_synthesis,1.0,0.9685,0.7273,0.7299,0.7099
22,hidden_variable_identification,shuffled_synthesis,1.0,0.9745,0.6154,0.7591,0.6825
23,model_abstraction_and_breakdown,no_graph,1.0,0.9658,0.5000,0.5215,0.6954
23,model_abstraction_and_breakdown,shuffled_graph,1.0,0.9746,0.5000,0.5460,0.7195
23,model_abstraction_and_breakdown,wrong_graph,1.0,0.9773,0.5714,0.5337,0.7112
23,model_abstraction_and_breakdown,no_synthesis,1.0,0.9837,0.4444,0.6074,0.8000
23,model_abstraction_and_breakdown,shuffled_synthesis,1.0,0.9770,0.5000,0.6380,0.7163
24,hidden_variable_identification,no_graph,1.0,0.9647,0.4000,0.5614,0.5662
24,hidden_variable_identification,shuffled_graph,1.0,0.9620,0.5455,0.5965,0.5818
24,hidden_variable_identification,wrong_graph,1.0,0.9706,0.5714,0.5526,0.5581
24,hidden_variable_identification,no_synthesis,1.0,0.9669,0.7692,0.4474,0.4715
24,hidden_variable_identification,shuffled_synthesis,1.0,0.9805,0.6154,0.6667,0.5395
25,hidden_variable_identification,no_graph,1.0,0.9700,0.2857,0.4663,0.5378
25,hidden_variable_identification,shuffled_graph,1.0,0.9710,0.2857,0.4775,0.5673
25,hidden_variable_identification,wrong_graph,1.0,0.9712,0.5714,0.4831,0.5614
25,hidden_variable_identification,no_synthesis,1.0,0.9756,0.6667,0.5112,0.6217
25,hidden_variable_identification,shuffled_synthesis,1.0,0.9836,0.5714,0.5730,0.6158
26,hidden_variable_identification,no_graph,1.0,0.9731,0.3333,0.5491,0.6512
26,hidden_variable_identification,shuffled_graph,1.0,0.9793,0.4000,0.5670,0.7283
26,hidden_variable_identification,wrong_graph,1.0,0.9795,0.4000,0.5625,0.6854
26,hidden_variable_identification,no_synthesis,1.0,0.9747,0.8571,0.6384,0.7168
26,hidden_variable_identification,shuffled_synthesis,1.0,0.9815,0.6667,0.6652,0.7086
27,hidden_variable_identification,no_graph,1.0,0.9624,0.3636,0.5172,0.5965
27,hidden_variable_identification,shuffled_graph,1.0,0.9712,0.3636,0.5402,0.6027
27,hidden_variable_identification,wrong_graph,1.0,0.9522,0.3636,0.5345,0.6316
27,hidden_variable_identification,no_synthesis,1.0,0.9696,0.4615,0.6149,0.6413
27,hidden_variable_identification,shuffled_synthesis,1.0,0.9681,0.4615,0.6264,0.6752
28,model_abstraction_and_breakdown,no_graph,1.0,0.9641,0.5000,0.6704,0.6757
28,model_abstraction_and_breakdown,shuffled_graph,1.0,0.9678,0.5455,0.7151,0.7174
28,model_abstraction_and_breakdown,wrong_graph,1.0,0.9685,0.3636,0.6872,0.6759
28,model_abstraction_and_breakdown,no_synthesis,1.0,0.9772,0.6000,0.6648,0.7305
28,model_abstraction_and_breakdown,shuffled_synthesis,1.0,0.9764,0.6000,0.6704,0.7122
29,hidden_variable_identification,no_graph,1.0,0.9829,0.4444,0.6466,0.7027
29,hidden_variable_identification,shuffled_graph,1.0,0.9794,0.4444,0.6541,0.7230
29,hidden_variable_identification,wrong_graph,1.0,0.9724,0.5000,0.6241,0.6780
29,hidden_variable_identification,no_synthesis,1.0,0.9855,0.5714,0.6692,0.6892
29,hidden_variable_identification,shuffled_synthesis,1.0,0.9804,0.2500,0.6917,0.7167
30,model_abstraction_and_breakdown,no_graph,1.0,0.9539,0.6000,0.5299,0.5833
30,model_abstraction_and_breakdown,shuffled_graph,1.0,0.9610,0.7273,0.5970,0.6477
30,model_abstraction_and_breakdown,wrong_graph,1.0,0.9561,0.4615,0.6567,0.6369
30,model_abstraction_and_breakdown,no_synthesis,1.0,0.9677,0.4444,0.6493,0.6642
30,model_abstraction_and_breakdown,shuffled_synthesis,1.0,0.9611,0.5000,0.6716,0.6780
31,model_abstraction_and_breakdown,no_graph,1.0,0.9817,1.0000,0.5802,0.6730
31,model_abstraction_and_breakdown,shuffled_graph,1.0,0.9854,0.6667,0.5954,0.6811
31,model_abstraction_and_breakdown,wrong_graph,1.0,0.9800,0.6667,0.7405,0.6746
31,model_abstraction_and_breakdown,no_synthesis,1.0,0.9838,0.6667,0.6870,0.7327
31,model_abstraction_and_breakdown,shuffled_synthesis,1.0,0.9854,1.0000,0.7405,0.7295
32,tradeoff_and_non_monotonicity,no_graph,1.0,0.9468,0.4444,0.4066,0.5839
32,tradeoff_and_non_monotonicity,shuffled_graph,1.0,0.9600,0.7500,0.5934,0.6940
32,tradeoff_and_non_monotonicity,wrong_graph,1.0,0.9567,0.8889,0.4670,0.5886
32,tradeoff_and_non_monotonicity,no_synthesis,1.0,0.9597,0.8889,0.6044,0.7010
32,tradeoff_and_non_monotonicity,shuffled_synthesis,1.0,0.9777,0.7500,0.5989,0.6625
33,tradeoff_and_non_monotonicity,no_graph,1.0,0.9708,0.6667,0.5163,0.6910
33,tradeoff_and_non_monotonicity,shuffled_graph,1.0,0.9725,0.3333,0.5294,0.6458
33,tradeoff_and_non_monotonicity,wrong_graph,1.0,0.9659,0.5714,0.5686,0.7256
33,tradeoff_and_non_monotonicity,no_synthesis,1.0,0.9700,0.4000,0.5490,0.6624
33,tradeoff_and_non_monotonicity,shuffled_synthesis,1.0,0.9760,0.3333,0.6405,0.6954
34,hidden_variable_identification,no_graph,1.0,0.9436,0.6667,0.6014,0.6323
34,hidden_variable_identification,shuffled_graph,1.0,0.9515,0.5714,0.6014,0.6456
34,hidden_variable_identification,wrong_graph,1.0,0.9674,0.8235,0.6643,0.6731
34,hidden_variable_identification,no_synthesis,1.0,0.9641,0.6250,0.7133,0.6857
34,hidden_variable_identification,shuffled_synthesis,1.0,0.9761,0.7500,0.7273,0.7459
35,hidden_variable_identification,no_graph,1.0,0.9622,0.0000,0.5473,0.5735
35,hidden_variable_identification,shuffled_graph,1.0,0.9488,0.0000,0.4932,0.5489
35,hidden_variable_identification,wrong_graph,1.0,0.9589,0.0000,0.5270,0.5441
35,hidden_variable_identification,no_synthesis,1.0,0.9389,0.0000,0.6014,0.6475
35,hidden_variable_identification,shuffled_synthesis,1.0,0.9607,0.0000,0.5203,0.5792
36,tradeoff_and_non_monotonicity,no_graph,1.0,0.9766,0.4000,0.5063,0.5648
36,tradeoff_and_non_monotonicity,shuffled_graph,1.0,0.9771,0.6667,0.5316,0.5926
36,tradeoff_and_non_monotonicity,wrong_graph,1.0,0.9773,0.5000,0.4430,0.5430
36,tradeoff_and_non_monotonicity,no_synthesis,1.0,0.9751,0.8889,0.6646,0.8339
36,tradeoff_and_non_monotonicity,shuffled_synthesis,1.0,0.9735,0.6667,0.5949,0.7651
37,hidden_variable_identification,no_graph,1.0,0.9582,0.6000,0.5497,0.6474
37,hidden_variable_identification,shuffled_graph,1.0,0.9627,0.6000,0.5497,0.6367
37,hidden_variable_identification,wrong_graph,1.0,0.9641,0.4000,0.5497,0.6302
37,hidden_variable_identification,no_synthesis,1.0,0.9571,0.3636,0.6023,0.6490
37,hidden_variable_identification,shuffled_synthesis,1.0,0.9515,0.6000,0.5263,0.5960
38,model_abstraction_and_breakdown,no_graph,1.0,0.9651,0.4444,0.4769,0.5677
38,model_abstraction_and_breakdown,shuffled_graph,1.0,0.9651,0.3636,0.5692,0.5846
38,model_abstraction_and_breakdown,wrong_graph,1.0,0.9653,0.4000,0.5000,0.5723
38,model_abstraction_and_breakdown,no_synthesis,1.0,0.9547,0.5455,0.5538,0.5761
38,model_abstraction_and_breakdown,shuffled_synthesis,1.0,0.9696,0.4000,0.5615,0.6335
39,tradeoff_and_non_monotonicity,no_graph,1.0,0.9623,0.7273,0.5473,0.6453
39,tradeoff_and_non_monotonicity,shuffled_graph,1.0,0.9455,0.6667,0.5270,0.5841
39,tradeoff_and_non_monotonicity,wrong_graph,1.0,0.9449,0.7273,0.5203,0.6250
39,tradeoff_and_non_monotonicity,no_synthesis,1.0,0.9415,0.6667,0.5608,0.6000
39,tradeoff_and_non_monotonicity,shuffled_synthesis,1.0,0.9354,0.9091,0.5608,0.6242
