id,question_type,control_type,layer,clean_mf1,corrupt_mf1,patched_mf1,mf1_recovery
12,hidden_variable_identification,random_region,15,0.5000,0.5000,0.0000,0.0000
12,hidden_variable_identification,random_region,25,0.5000,0.5000,0.0000,0.0000
12,hidden_variable_identification,random_region,30,0.5000,0.5000,0.0000,0.0000
12,hidden_variable_identification,random_region,33,0.5000,0.5000,0.0000,0.0000
12,hidden_variable_identification,random_region,36,0.5000,0.5000,0.3333,0.0000
13,hidden_variable_identification,random_region,3,0.6000,0.6667,0.0000,0.0000
13,hidden_variable_identification,random_region,7,0.6000,0.6667,0.0000,0.0000
13,hidden_variable_identification,random_region,8,0.6000,0.6667,0.0000,0.0000
13,hidden_variable_identification,random_region,9,0.6000,0.6667,0.0000,0.0000
13,hidden_variable_identification,random_region,10,0.6000,0.6667,0.0000,0.0000
13,hidden_variable_identification,random_region,15,0.6000,0.6667,0.0000,0.0000
13,hidden_variable_identification,random_region,25,0.6000,0.6667,0.0000,1.0000
13,hidden_variable_identification,random_region,30,0.6000,0.6667,0.0000,0.0000
13,hidden_variable_identification,random_region,33,0.6000,0.6667,0.0000,0.0000
13,hidden_variable_identification,random_region,36,0.6000,0.6667,0.0000,1.0000
14,hidden_variable_identification,random_region,3,0.7692,0.5000,0.0000,0.0000
14,hidden_variable_identification,random_region,7,0.7692,0.5000,0.0000,0.0000
14,hidden_variable_identification,random_region,8,0.7692,0.5000,0.0000,0.0000
14,hidden_variable_identification,random_region,9,0.7692,0.5000,0.0000,0.0000
14,hidden_variable_identification,random_region,10,0.7692,0.5000,0.0000,0.0000
14,hidden_variable_identification,random_region,15,0.7692,0.5000,0.0000,0.0000
14,hidden_variable_identification,random_region,25,0.7692,0.5000,0.0000,0.0000
14,hidden_variable_identification,random_region,30,0.7692,0.5000,0.0000,0.0000
14,hidden_variable_identification,random_region,33,0.7692,0.5000,0.0000,0.0000
14,hidden_variable_identification,random_region,36,0.7692,0.5000,0.2500,1.0000
15,hidden_variable_identification,random_region,3,0.5455,0.4444,0.0000,0.0000
15,hidden_variable_identification,random_region,7,0.5455,0.4444,0.0000,0.0000
15,hidden_variable_identification,random_region,8,0.5455,0.4444,0.0000,0.0000
15,hidden_variable_identification,random_region,9,0.5455,0.4444,0.0000,0.0000
15,hidden_variable_identification,random_region,10,0.5455,0.4444,0.0000,0.0000
15,hidden_variable_identification,random_region,15,0.5455,0.4444,0.0000,0.0000
15,hidden_variable_identification,random_region,25,0.5455,0.4444,0.0000,0.0000
15,hidden_variable_identification,random_region,30,0.5455,0.4444,0.0000,0.0000
15,hidden_variable_identification,random_region,33,0.5455,0.4444,0.0000,0.0000
15,hidden_variable_identification,random_region,36,0.5455,0.4444,0.4000,1.0000
16,model_abstraction_and_breakdown,random_region,3,0.6667,0.6667,0.0000,0.0000
16,model_abstraction_and_breakdown,random_region,7,0.6667,0.6667,0.0000,0.0000
16,model_abstraction_and_breakdown,random_region,8,0.6667,0.6667,0.0000,0.0000
16,model_abstraction_and_breakdown,random_region,9,0.6667,0.6667,0.0000,0.0000
16,model_abstraction_and_breakdown,random_region,10,0.6667,0.6667,0.0000,0.0000
16,model_abstraction_and_breakdown,random_region,15,0.6667,0.6667,0.0000,0.0000
16,model_abstraction_and_breakdown,random_region,25,0.6667,0.6667,0.0000,0.0000
16,model_abstraction_and_breakdown,random_region,30,0.6667,0.6667,0.0000,0.0000
