id,question_type,corruption,layer,component,token_region,clean_mf1,corrupt_mf1,patched_mf1,mf1_recovery,clean_gs,corrupt_gs,patched_gs,gs_recovery,layer_type
0,cross_domain_mapping,wrong_graph,25,residual,answer_start,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0325,1.0000,control
0,cross_domain_mapping,wrong_graph,25,attention,answer_start,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0325,1.0000,control
0,cross_domain_mapping,wrong_graph,25,mlp,answer_start,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0325,1.0000,control
0,cross_domain_mapping,wrong_graph,30,residual,graph_stage,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0065,1.0000,candidate
0,cross_domain_mapping,wrong_graph,30,attention,graph_stage,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0065,1.0000,candidate
0,cross_domain_mapping,wrong_graph,30,mlp,graph_stage,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0065,1.0000,candidate
0,cross_domain_mapping,wrong_graph,30,residual,synthesis_stage,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0195,1.0000,candidate
0,cross_domain_mapping,wrong_graph,30,attention,synthesis_stage,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0195,1.0000,candidate
0,cross_domain_mapping,wrong_graph,30,mlp,synthesis_stage,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0195,1.0000,candidate
0,cross_domain_mapping,wrong_graph,30,residual,answer_start,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0455,1.0000,candidate
0,cross_domain_mapping,wrong_graph,30,attention,answer_start,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0455,1.0000,candidate
0,cross_domain_mapping,wrong_graph,30,mlp,answer_start,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0455,1.0000,candidate
0,cross_domain_mapping,wrong_graph,33,residual,graph_stage,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0390,0.0000,control
0,cross_domain_mapping,wrong_graph,33,attention,graph_stage,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0390,0.0000,control
0,cross_domain_mapping,wrong_graph,33,mlp,graph_stage,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0390,0.0000,control
0,cross_domain_mapping,wrong_graph,33,residual,synthesis_stage,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0195,1.0000,control
0,cross_domain_mapping,wrong_graph,33,attention,synthesis_stage,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0195,1.0000,control
0,cross_domain_mapping,wrong_graph,33,mlp,synthesis_stage,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0195,1.0000,control
0,cross_domain_mapping,wrong_graph,33,residual,answer_start,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0390,1.0000,control
0,cross_domain_mapping,wrong_graph,33,attention,answer_start,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0390,1.0000,control
0,cross_domain_mapping,wrong_graph,33,mlp,answer_start,0.8000,1.0000,0.0000,0.0000,0.5325,0.6234,0.0390,1.0000,control
0,cross_domain_mapping,wrong_graph,36,residual,graph_stage,0.8000,1.0000,0.6667,0.0000,0.5325,0.6234,0.1818,1.0000,candidate
0,cross_domain_mapping,wrong_graph,36,attention,graph_stage,0.8000,1.0000,0.6667,0.0000,0.5325,0.6234,0.1818,1.0000,candidate
0,cross_domain_mapping,wrong_graph,36,mlp,graph_stage,0.8000,1.0000,0.6667,0.0000,0.5325,0.6234,0.1818,1.0000,candidate
0,cross_domain_mapping,wrong_graph,36,residual,synthesis_stage,0.8000,1.0000,0.4000,1.0000,0.5325,0.6234,0.1299,1.0000,candidate
0,cross_domain_mapping,wrong_graph,36,attention,synthesis_stage,0.8000,1.0000,0.4000,1.0000,0.5325,0.6234,0.1299,1.0000,candidate
0,cross_domain_mapping,wrong_graph,36,mlp,synthesis_stage,0.8000,1.0000,0.4000,1.0000,0.5325,0.6234,0.1299,1.0000,candidate
0,cross_domain_mapping,wrong_graph,36,residual,answer_start,0.8000,1.0000,0.0000,1.0000,0.5325,0.6234,0.0779,1.0000,candidate
0,cross_domain_mapping,wrong_graph,36,attention,answer_start,0.8000,1.0000,0.0000,1.0000,0.5325,0.6234,0.0779,1.0000,candidate
0,cross_domain_mapping,wrong_graph,36,mlp,answer_start,0.8000,1.0000,0.0000,1.0000,0.5325,0.6234,0.0779,1.0000,candidate
0,cross_domain_mapping,shuffled_graph,3,residual,graph_stage,0.8000,1.0000,0.0000,0.0000,0.5325,0.5649,0.0000,0.0000,control
0,cross_domain_mapping,shuffled_graph,3,attention,graph_stage,0.8000,1.0000,0.0000,0.0000,0.5325,0.5649,0.0000,0.0000,control
0,cross_domain_mapping,shuffled_graph,3,mlp,graph_stage,0.8000,1.0000,0.0000,0.0000,0.5325,0.5649,0.0000,0.0000,control
0,cross_domain_mapping,shuffled_graph,3,residual,synthesis_stage,0.8000,1.0000,0.0000,0.0000,0.5325,0.5649,0.0000,0.0000,control
0,cross_domain_mapping,shuffled_graph,3,attention,synthesis_stage,0.8000,1.0000,0.0000,0.0000,0.5325,0.5649,0.0000,0.0000,control
0,cross_domain_mapping,shuffled_graph,3,mlp,synthesis_stage,0.8000,1.0000,0.0000,0.0000,0.5325,0.5649,0.0000,0.0000,control
